,Buffer A DTT,Template,Energy_solution_4x,Chi6,Malachite_Green,MG_Glut,K_Glut,DTT,Stock-60 BME,Plate_Number
0,578,225,616,99,247,39,27,22,375,1
1,565,225,616,99,247,42,32,26,375,2
