MG_Glut,K_Glut,DTT,Experiments,Tubes
10.0,80.0,0.7,4,"['A1', 'A2']"
6.5,105.0,0.95,14,"['A3', 'A4', 'A5', 'A6', 'A7', 'A8']"
6.5,52.3,0.95,3,"['A9', 'A10']"
10.0,80.0,1.2,6,"['A11', 'A12', 'A13']"
10.0,130.0,0.7,5,"['A14', 'A15', 'A16']"
3.0,105.0,0.95,2,['C1']
3.0,130.0,1.2,4,"['C2', 'C3']"
10.0,130.0,1.2,7,"['C4', 'C5', 'C6']"
3.0,80.0,1.2,5,"['C7', 'C8', 'C9']"
13.88,105.0,0.95,3,"['C10', 'C11']"
3.0,130.0,0.7,5,"['C12', 'C13', 'C14']"
6.5,105.0,1.48,5,"['C15', 'C16', 'E1']"
6.5,105.0,0.42,2,['E2']
3.0,80.0,0.7,4,"['E3', 'E4']"
6.5,157.7,0.95,1,['E5']
