T7_RNAP,Experiments,Tubes
0.4,18,"['B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8']"
0.24,26,"['B9', 'B10', 'B11', 'B12', 'B13', 'B14', 'B15', 'B16', 'D1', 'D2', 'D3']"
0.04,24,"['D4', 'D5', 'D6', 'D7', 'D8', 'D9', 'D10', 'D11', 'D12', 'D13']"
0.6,2,['D14']
