MG_Glut,K_Glut,DTT,PEG-8000,Experiments,Tubes
16.0,106.66666666666666,1.5999999999999999,6.666666666666666,5,['A1']
5.333333333333333,173.33333333333331,1.5999999999999999,6.666666666666666,5,['A2']
16.0,106.66666666666666,0.9333333333333332,6.666666666666666,5,['A3']
16.0,173.33333333333331,1.5999999999999999,1.3333333333333333,5,['A4']
5.333333333333333,173.33333333333331,0.9333333333333332,6.666666666666666,5,['A5']
16.0,106.66666666666666,1.5999999999999999,1.3333333333333333,5,['A6']
16.0,173.33333333333331,1.5999999999999999,6.666666666666666,5,['A7']
10.666666666666666,140.0,1.2666666666666666,4.0,10,['A8']
5.333333333333333,173.33333333333331,0.9333333333333332,1.3333333333333333,5,['A9']
5.333333333333333,140.0,1.2666666666666666,4.0,5,['A10']
5.333333333333333,173.33333333333331,1.5999999999999999,1.3333333333333333,5,['A11']
10.666666666666666,140.0,1.5999999999999999,4.0,5,['A12']
5.333333333333333,106.66666666666666,1.5999999999999999,6.666666666666666,5,['C1']
