Time,TempC,C3,C5,C7,E3,E5,E7,G3,G5,G7,I3,I5,I7
206.03,29,209,238,202,390,355,389,31,41,33,9,18,7
208.03,29,209,233,201,397,361,402,41,44,28,11,17,5
210.03,29,202,228,206,418,363,406,46,50,35,21,13,5
212.03,29,215,242,205,417,369,411,45,50,24,17,15,3
214.03,29,223,244,218,427,373,431,42,49,33,7,13,8
216.03,29,227,251,223,438,384,436,49,46,28,10,15,1
218.03,29,230,268,228,444,394,440,43,50,31,10,16,1
220.03,29,239,259,234,447,408,462,47,47,33,9,21,3
222.03,29,243,261,237,460,402,471,49,49,30,17,16,0
224.03,29,247,281,236,463,427,482,47,58,47,10,21,4
226.03,29,242,278,255,468,414,495,43,54,37,13,26,17
228.03,29,253,291,247,495,442,498,50,53,38,11,17,9
230.03,29,264,303,269,500,445,505,53,51,40,14,19,7
232.03,29,268,312,273,513,459,528,54,65,43,13,12,0
234.03,29,278,318,284,527,467,524,42,51,43,16,20,1
236.03,29,277,341,270,517,477,539,56,60,41,18,12,1
238.03,29,280,325,277,537,497,552,46,66,44,17,20,15
240.03,29,294,340,283,541,493,565,58,68,43,12,14,4
242.03,29,303,336,304,558,495,571,59,66,44,4,5,8
244.03,29,309,343,312,579,510,584,63,65,46,13,9,1
246.03,29,318,358,310,566,521,588,61,65,47,12,18,0
248.03,29,316,356,339,602,531,596,62,72,54,18,21,0
250.03,29,325,363,336,597,544,607,69,64,50,9,15,0
252.03,29,334,377,331,614,548,624,67,76,54,14,21,0
254.03,29,338,376,358,615,547,637,64,71,53,18,18,4
256.03,29,351,391,356,624,585,672,68,70,52,6,12,0
258.03,29,348,399,360,631,566,652,67,77,51,14,18,4
260.03,29.1,356,398,362,647,585,674,69,82,53,8,19,8
262.03,29,362,405,377,658,603,690,76,78,61,13,13,5
264.03,29,378,420,388,658,610,714,66,83,45,14,14,14
266.03,29,383,428,394,700,620,698,73,91,65,11,20,8
268.03,29,382,428,395,682,618,739,77,90,63,15,17,3
270.03,29,396,439,406,698,653,750,76,88,66,11,15,6
272.03,29,398,450,410,714,639,751,83,97,75,4,12,7
274.03,29,399,457,419,734,658,758,78,85,72,10,10,12
276.03,29,405,448,423,737,675,753,84,85,65,8,8,9
278.03,29,419,468,426,745,683,773,85,88,75,16,17,13
280.03,29,425,475,433,759,687,789,86,97,68,13,22,12
282.03,29,437,486,452,764,695,808,94,101,76,20,15,8
284.03,29,442,505,462,767,717,825,98,100,84,14,15,4
286.03,29,445,506,463,785,726,828,96,104,72,19,23,7
288.03,29.1,456,502,485,814,716,840,92,100,80,19,21,13
290.03,29.1,464,527,482,810,736,865,97,102,76,17,14,14
292.03,29.1,475,525,488,825,754,853,100,115,87,15,12,4
294.03,29,483,526,496,831,762,879,94,113,87,14,8,7
296.03,29,488,535,515,849,766,897,99,126,89,10,23,9
298.03,29,503,540,497,851,784,917,106,118,88,16,23,10
300.03,29,492,552,519,872,805,910,105,121,92,11,18,15
302.03,29,514,565,514,882,808,933,118,115,93,21,19,8
304.03,29,519,592,521,878,821,920,110,123,97,12,25,11
306.03,29,512,587,526,904,821,942,106,123,89,12,23,2
308.03,29,526,579,533,909,817,964,114,124,98,19,22,7
310.03,29.1,533,595,553,919,863,960,131,116,98,19,17,5
312.03,29,552,619,563,935,853,973,116,134,105,18,22,6
314.03,29.1,548,625,571,941,855,983,124,131,104,14,17,7
316.03,29.1,559,617,578,952,870,1022,121,132,100,18,22,8
318.03,29.1,568,638,580,955,888,1004,133,139,101,10,17,4
320.03,29.1,589,643,593,975,892,1029,129,140,110,23,15,17
322.03,29,583,637,592,981,895,1038,126,143,108,13,15,6
324.03,29,575,652,599,995,896,1042,127,140,107,12,21,10
326.03,29,592,650,620,1010,906,1062,128,148,106,18,22,8
328.03,29,608,654,621,1012,920,1077,136,147,117,15,13,10
330.03,29,620,677,622,1042,943,1087,128,151,113,16,23,9
332.03,29,617,674,624,1031,945,1101,132,147,117,16,17,7
334.03,29,628,701,648,1066,963,1111,136,153,120,15,21,13
336.03,29,631,694,656,1068,963,1126,135,144,118,16,24,10
338.03,29,639,711,664,1063,976,1132,134,152,132,10,18,4
340.03,29.1,670,713,668,1090,991,1143,146,166,121,13,13,12
342.03,29,676,739,676,1080,987,1152,153,165,126,15,32,11
344.03,29,665,747,665,1088,1014,1156,149,156,134,13,16,8
346.03,29.1,663,755,693,1122,1029,1175,144,153,128,11,16,2
348.03,29.1,689,750,699,1125,1028,1198,160,165,128,13,22,7
350.03,29,698,751,696,1133,1034,1187,165,166,140,13,18,4
352.03,29,710,766,720,1168,1045,1210,162,167,145,15,26,6
354.03,29,716,776,721,1170,1056,1220,168,180,150,14,23,5
356.03,29,722,783,734,1165,1069,1221,176,177,145,14,23,5
358.03,29.1,730,794,733,1175,1079,1257,165,188,150,10,18,8
360.03,29.1,738,794,733,1211,1095,1250,169,184,140,12,22,7
362.03,29,730,810,756,1184,1093,1271,173,177,152,17,18,10
364.03,29,761,826,760,1204,1124,1278,170,185,161,16,17,21
366.03,29,755,830,770,1197,1122,1293,169,190,152,17,20,11
368.03,29.1,758,833,773,1234,1150,1295,171,195,160,13,23,13
370.03,29,783,855,775,1256,1146,1307,168,193,163,8,14,15
372.03,29,773,855,800,1225,1164,1314,175,192,159,21,22,3
374.03,29,801,888,790,1263,1154,1327,183,186,164,17,25,10
376.03,29,800,879,811,1262,1183,1325,189,199,166,19,13,0
378.03,29,788,873,800,1291,1156,1366,188,209,167,16,18,3
380.03,29,801,895,811,1281,1182,1348,183,208,163,19,18,10
382.03,29,810,862,826,1283,1215,1368,191,205,169,12,20,9
384.03,29,832,901,843,1301,1214,1364,191,211,177,13,16,5
386.03,29,830,903,846,1315,1206,1402,196,208,176,15,21,10
388.03,29,825,932,842,1325,1239,1422,194,209,177,7,12,3
390.03,29.1,839,925,866,1327,1238,1410,201,216,176,10,14,8
392.03,29,866,939,872,1343,1249,1415,191,223,185,11,19,3
394.03,29.1,854,937,855,1367,1240,1404,202,216,191,17,16,16
396.03,29.1,858,958,881,1337,1260,1446,205,217,175,15,22,16
398.03,29.1,897,963,874,1375,1264,1439,196,207,183,18,18,6
400.03,29,878,978,899,1371,1271,1476,218,223,191,9,22,6
402.03,29,890,982,900,1382,1288,1473,211,223,195,14,24,13
404.03,29,906,972,916,1438,1322,1503,215,228,179,10,17,8
406.03,29,891,1000,927,1408,1322,1491,219,241,199,20,11,5
408.03,29,921,990,933,1407,1307,1495,219,231,202,19,20,5
410.03,29,906,1010,923,1425,1328,1513,223,241,202,17,19,9
412.03,29,914,1025,953,1444,1346,1527,227,237,202,20,21,7
414.03,29,947,1024,969,1472,1363,1534,232,247,199,13,23,8
416.03,29,937,1036,955,1457,1359,1558,228,245,214,15,20,6
418.03,29.1,956,1031,974,1463,1353,1551,232,244,214,7,20,1
420.03,29,954,1061,983,1476,1389,1569,235,258,211,18,19,7
422.03,29,963,1068,994,1466,1405,1563,229,253,204,16,19,9
424.03,29.1,971,1091,1005,1492,1401,1574,233,251,212,21,19,11
