"","run.order","std.order","MG_Glut","K_Glut","DTT"
"1",1,1,4,80,0.5
"2",2,2,12,80,0.5
"3",3,3,4,130,0.5
"4",4,4,12,130,0.5
"5",5,5,4,80,1.5
"6",6,6,12,80,1.5
"7",7,7,4,130,1.5
"8",8,8,12,130,1.5
"9",9,9,8,105,1
"10",10,10,8,105,1
"11",1,1,3,105,1
"12",2,2,13,105,1
"13",3,3,8,73.75,1
"14",4,4,8,136.25,1
"15",5,5,8,105,0.37
"16",6,6,8,105,1.62
"17",7,7,8,105,1
"18",8,8,8,105,1
