run.order,std.order,lysate_aspirate_height_inc,lysate_aspirate_rate,lysate_dispense_rate,substrates_aspirate_height_inc,substrates_aspirate_rate,substrates_dispense_rate,Well,Plate
1,1,0.1,0.1,0.1,0.3,0.7,0.7,A1,1
2,2,0.1,0.1,0.1,0.3,0.7,0.7,A2,1
3,3,0.1,0.1,0.1,0.3,0.7,0.7,A3,1
4,4,0.1,0.1,0.1,0.3,0.7,0.7,A4,1
5,5,0.1,0.1,0.1,0.3,0.7,0.7,A5,1
6,6,0.1,0.1,0.1,0.3,0.7,0.7,A6,1
7,7,0.6,0.1,0.1,0.3,0.7,0.7,A7,1
8,8,0.6,0.1,0.1,0.3,0.7,0.7,A8,1
9,9,0.6,0.1,0.1,0.3,0.7,0.7,A9,1
10,10,0.6,0.1,0.1,0.3,0.7,0.7,A10,1
11,11,0.6,0.1,0.1,0.3,0.7,0.7,A11,1
12,12,0.6,0.1,0.1,0.3,0.7,0.7,A12,1
13,13,0.1,0.4,0.1,0.3,0.7,0.7,A13,1
14,14,0.1,0.4,0.1,0.3,0.7,0.7,A14,1
15,15,0.1,0.4,0.1,0.3,0.7,0.7,A15,1
16,16,0.1,0.4,0.1,0.3,0.7,0.7,A16,1
17,17,0.1,0.4,0.1,0.3,0.7,0.7,A17,1
18,18,0.1,0.4,0.1,0.3,0.7,0.7,A18,1
19,19,0.6,0.4,0.1,0.3,0.7,0.7,A19,1
20,20,0.6,0.4,0.1,0.3,0.7,0.7,A20,1
21,21,0.6,0.4,0.1,0.3,0.7,0.7,A21,1
22,22,0.6,0.4,0.1,0.3,0.7,0.7,A22,1
23,23,0.6,0.4,0.1,0.3,0.7,0.7,A23,1
24,24,0.6,0.4,0.1,0.3,0.7,0.7,A24,1
25,25,0.1,0.1,0.5,0.3,0.7,0.7,B1,1
26,26,0.1,0.1,0.5,0.3,0.7,0.7,B2,1
27,27,0.1,0.1,0.5,0.3,0.7,0.7,B3,1
28,28,0.1,0.1,0.5,0.3,0.7,0.7,B4,1
29,29,0.1,0.1,0.5,0.3,0.7,0.7,B5,1
30,30,0.1,0.1,0.5,0.3,0.7,0.7,B6,1
31,31,0.6,0.1,0.5,0.3,0.7,0.7,B7,1
32,32,0.6,0.1,0.5,0.3,0.7,0.7,B8,1
33,33,0.6,0.1,0.5,0.3,0.7,0.7,B9,1
34,34,0.6,0.1,0.5,0.3,0.7,0.7,B10,1
35,35,0.6,0.1,0.5,0.3,0.7,0.7,B11,1
36,36,0.6,0.1,0.5,0.3,0.7,0.7,B12,1
37,37,0.1,0.4,0.5,0.3,0.7,0.7,B13,1
38,38,0.1,0.4,0.5,0.3,0.7,0.7,B14,1
39,39,0.1,0.4,0.5,0.3,0.7,0.7,B15,1
40,40,0.1,0.4,0.5,0.3,0.7,0.7,B16,1
41,41,0.1,0.4,0.5,0.3,0.7,0.7,B17,1
42,42,0.1,0.4,0.5,0.3,0.7,0.7,B18,1
43,43,0.6,0.4,0.5,0.3,0.7,0.7,B19,1
44,44,0.6,0.4,0.5,0.3,0.7,0.7,B20,1
45,45,0.6,0.4,0.5,0.3,0.7,0.7,B21,1
46,46,0.6,0.4,0.5,0.3,0.7,0.7,B22,1
47,47,0.6,0.4,0.5,0.3,0.7,0.7,B23,1
48,48,0.6,0.4,0.5,0.3,0.7,0.7,B24,1
49,49,0.1,0.1,0.1,0.8,0.7,0.7,C1,1
50,50,0.1,0.1,0.1,0.8,0.7,0.7,C2,1
51,51,0.1,0.1,0.1,0.8,0.7,0.7,C3,1
52,52,0.1,0.1,0.1,0.8,0.7,0.7,C4,1
53,53,0.1,0.1,0.1,0.8,0.7,0.7,C5,1
54,54,0.1,0.1,0.1,0.8,0.7,0.7,C6,1
55,55,0.6,0.1,0.1,0.8,0.7,0.7,C7,1
56,56,0.6,0.1,0.1,0.8,0.7,0.7,C8,1
57,57,0.6,0.1,0.1,0.8,0.7,0.7,C9,1
58,58,0.6,0.1,0.1,0.8,0.7,0.7,C10,1
59,59,0.6,0.1,0.1,0.8,0.7,0.7,C11,1
60,60,0.6,0.1,0.1,0.8,0.7,0.7,C12,1
61,61,0.1,0.4,0.1,0.8,0.7,0.7,C13,1
62,62,0.1,0.4,0.1,0.8,0.7,0.7,C14,1
63,63,0.1,0.4,0.1,0.8,0.7,0.7,C15,1
64,64,0.1,0.4,0.1,0.8,0.7,0.7,C16,1
65,65,0.1,0.4,0.1,0.8,0.7,0.7,C17,1
66,66,0.1,0.4,0.1,0.8,0.7,0.7,C18,1
67,67,0.6,0.4,0.1,0.8,0.7,0.7,C19,1
68,68,0.6,0.4,0.1,0.8,0.7,0.7,C20,1
69,69,0.6,0.4,0.1,0.8,0.7,0.7,C21,1
70,70,0.6,0.4,0.1,0.8,0.7,0.7,C22,1
71,71,0.6,0.4,0.1,0.8,0.7,0.7,C23,1
72,72,0.6,0.4,0.1,0.8,0.7,0.7,C24,1
73,73,0.1,0.1,0.5,0.8,0.7,0.7,D1,1
74,74,0.1,0.1,0.5,0.8,0.7,0.7,D2,1
75,75,0.1,0.1,0.5,0.8,0.7,0.7,D3,1
76,76,0.1,0.1,0.5,0.8,0.7,0.7,D4,1
77,77,0.1,0.1,0.5,0.8,0.7,0.7,D5,1
78,78,0.1,0.1,0.5,0.8,0.7,0.7,D6,1
79,79,0.6,0.1,0.5,0.8,0.7,0.7,D7,1
80,80,0.6,0.1,0.5,0.8,0.7,0.7,D8,1
81,81,0.6,0.1,0.5,0.8,0.7,0.7,D9,1
82,82,0.6,0.1,0.5,0.8,0.7,0.7,D10,1
83,83,0.6,0.1,0.5,0.8,0.7,0.7,D11,1
84,84,0.6,0.1,0.5,0.8,0.7,0.7,D12,1
85,85,0.1,0.4,0.5,0.8,0.7,0.7,D13,1
86,86,0.1,0.4,0.5,0.8,0.7,0.7,D14,1
87,87,0.1,0.4,0.5,0.8,0.7,0.7,D15,1
88,88,0.1,0.4,0.5,0.8,0.7,0.7,D16,1
89,89,0.1,0.4,0.5,0.8,0.7,0.7,D17,1
90,90,0.1,0.4,0.5,0.8,0.7,0.7,D18,1
91,91,0.6,0.4,0.5,0.8,0.7,0.7,D19,1
92,92,0.6,0.4,0.5,0.8,0.7,0.7,D20,1
93,93,0.6,0.4,0.5,0.8,0.7,0.7,D21,1
94,94,0.6,0.4,0.5,0.8,0.7,0.7,D22,1
95,95,0.6,0.4,0.5,0.8,0.7,0.7,D23,1
96,96,0.6,0.4,0.5,0.8,0.7,0.7,D24,1
97,97,0.1,0.1,0.1,0.3,1.2,0.7,E1,1
98,98,0.1,0.1,0.1,0.3,1.2,0.7,E2,1
99,99,0.1,0.1,0.1,0.3,1.2,0.7,E3,1
100,100,0.1,0.1,0.1,0.3,1.2,0.7,E4,1
101,101,0.1,0.1,0.1,0.3,1.2,0.7,E5,1
102,102,0.1,0.1,0.1,0.3,1.2,0.7,E6,1
103,103,0.6,0.1,0.1,0.3,1.2,0.7,E7,1
104,104,0.6,0.1,0.1,0.3,1.2,0.7,E8,1
105,105,0.6,0.1,0.1,0.3,1.2,0.7,E9,1
106,106,0.6,0.1,0.1,0.3,1.2,0.7,E10,1
107,107,0.6,0.1,0.1,0.3,1.2,0.7,E11,1
108,108,0.6,0.1,0.1,0.3,1.2,0.7,E12,1
109,109,0.1,0.4,0.1,0.3,1.2,0.7,E13,1
110,110,0.1,0.4,0.1,0.3,1.2,0.7,E14,1
111,111,0.1,0.4,0.1,0.3,1.2,0.7,E15,1
112,112,0.1,0.4,0.1,0.3,1.2,0.7,E16,1
113,113,0.1,0.4,0.1,0.3,1.2,0.7,E17,1
114,114,0.1,0.4,0.1,0.3,1.2,0.7,E18,1
115,115,0.6,0.4,0.1,0.3,1.2,0.7,E19,1
116,116,0.6,0.4,0.1,0.3,1.2,0.7,E20,1
117,117,0.6,0.4,0.1,0.3,1.2,0.7,E21,1
118,118,0.6,0.4,0.1,0.3,1.2,0.7,E22,1
119,119,0.6,0.4,0.1,0.3,1.2,0.7,E23,1
120,120,0.6,0.4,0.1,0.3,1.2,0.7,E24,1
121,121,0.1,0.1,0.5,0.3,1.2,0.7,F1,1
122,122,0.1,0.1,0.5,0.3,1.2,0.7,F2,1
123,123,0.1,0.1,0.5,0.3,1.2,0.7,F3,1
124,124,0.1,0.1,0.5,0.3,1.2,0.7,F4,1
125,125,0.1,0.1,0.5,0.3,1.2,0.7,F5,1
126,126,0.1,0.1,0.5,0.3,1.2,0.7,F6,1
127,127,0.6,0.1,0.5,0.3,1.2,0.7,F7,1
128,128,0.6,0.1,0.5,0.3,1.2,0.7,F8,1
129,129,0.6,0.1,0.5,0.3,1.2,0.7,F9,1
130,130,0.6,0.1,0.5,0.3,1.2,0.7,F10,1
131,131,0.6,0.1,0.5,0.3,1.2,0.7,F11,1
132,132,0.6,0.1,0.5,0.3,1.2,0.7,F12,1
133,133,0.1,0.4,0.5,0.3,1.2,0.7,F13,1
134,134,0.1,0.4,0.5,0.3,1.2,0.7,F14,1
135,135,0.1,0.4,0.5,0.3,1.2,0.7,F15,1
136,136,0.1,0.4,0.5,0.3,1.2,0.7,F16,1
137,137,0.1,0.4,0.5,0.3,1.2,0.7,F17,1
138,138,0.1,0.4,0.5,0.3,1.2,0.7,F18,1
139,139,0.6,0.4,0.5,0.3,1.2,0.7,F19,1
140,140,0.6,0.4,0.5,0.3,1.2,0.7,F20,1
141,141,0.6,0.4,0.5,0.3,1.2,0.7,F21,1
142,142,0.6,0.4,0.5,0.3,1.2,0.7,F22,1
143,143,0.6,0.4,0.5,0.3,1.2,0.7,F23,1
144,144,0.6,0.4,0.5,0.3,1.2,0.7,F24,1
145,145,0.1,0.1,0.1,0.8,1.2,0.7,G1,1
146,146,0.1,0.1,0.1,0.8,1.2,0.7,G2,1
147,147,0.1,0.1,0.1,0.8,1.2,0.7,G3,1
148,148,0.1,0.1,0.1,0.8,1.2,0.7,G4,1
149,149,0.1,0.1,0.1,0.8,1.2,0.7,G5,1
150,150,0.1,0.1,0.1,0.8,1.2,0.7,G6,1
151,151,0.6,0.1,0.1,0.8,1.2,0.7,G7,1
152,152,0.6,0.1,0.1,0.8,1.2,0.7,G8,1
153,153,0.6,0.1,0.1,0.8,1.2,0.7,G9,1
154,154,0.6,0.1,0.1,0.8,1.2,0.7,G10,1
155,155,0.6,0.1,0.1,0.8,1.2,0.7,G11,1
156,156,0.6,0.1,0.1,0.8,1.2,0.7,G12,1
157,157,0.1,0.4,0.1,0.8,1.2,0.7,G13,1
158,158,0.1,0.4,0.1,0.8,1.2,0.7,G14,1
159,159,0.1,0.4,0.1,0.8,1.2,0.7,G15,1
160,160,0.1,0.4,0.1,0.8,1.2,0.7,G16,1
161,161,0.1,0.4,0.1,0.8,1.2,0.7,G17,1
162,162,0.1,0.4,0.1,0.8,1.2,0.7,G18,1
163,163,0.6,0.4,0.1,0.8,1.2,0.7,G19,1
164,164,0.6,0.4,0.1,0.8,1.2,0.7,G20,1
165,165,0.6,0.4,0.1,0.8,1.2,0.7,G21,1
166,166,0.6,0.4,0.1,0.8,1.2,0.7,G22,1
167,167,0.6,0.4,0.1,0.8,1.2,0.7,G23,1
168,168,0.6,0.4,0.1,0.8,1.2,0.7,G24,1
169,169,0.1,0.1,0.5,0.8,1.2,0.7,H1,1
170,170,0.1,0.1,0.5,0.8,1.2,0.7,H2,1
171,171,0.1,0.1,0.5,0.8,1.2,0.7,H3,1
172,172,0.1,0.1,0.5,0.8,1.2,0.7,H4,1
173,173,0.1,0.1,0.5,0.8,1.2,0.7,H5,1
174,174,0.1,0.1,0.5,0.8,1.2,0.7,H6,1
175,175,0.6,0.1,0.5,0.8,1.2,0.7,H7,1
