"","run.order","std.order","x1","x2","x3","x4","x5","x6"
"64",379,379,1,1,1,1,1,1
"64.1",380,380,1,1,1,1,1,1
"64.2",381,381,1,1,1,1,1,1
"64.3",382,382,1,1,1,1,1,1
"64.4",383,383,1,1,1,1,1,1
"64.5",384,384,1,1,1,1,1,1
"110",385,385,0,0,0,0,0,0
"210",386,386,0,0,0,0,0,0
"310",387,387,0,0,0,0,0,0
"410",388,388,0,0,0,0,0,0
"111",1,1,-2.50360564728421,0,0,0,0,0
"211",2,2,2.50360564728421,0,0,0,0,0
"311",3,3,0,-2.50360564728421,0,0,0,0
"411",4,4,0,2.50360564728421,0,0,0,0
"510",5,5,0,0,-2.50360564728421,0,0,0
"610",6,6,0,0,2.50360564728421,0,0,0
"77",7,7,0,0,0,-2.50360564728421,0,0
"81",8,8,0,0,0,2.50360564728421,0,0
"91",9,9,0,0,0,0,-2.50360564728421,0
"101",10,10,0,0,0,0,2.50360564728421,0
"112",11,11,0,0,0,0,0,-2.50360564728421
"121",12,12,0,0,0,0,0,2.50360564728421
"131",13,13,-2.50360564728421,0,0,0,0,0
"141",14,14,2.50360564728421,0,0,0,0,0
"151",15,15,0,-2.50360564728421,0,0,0,0
"161",16,16,0,2.50360564728421,0,0,0,0
"171",17,17,0,0,-2.50360564728421,0,0,0
"181",18,18,0,0,2.50360564728421,0,0,0
"191",19,19,0,0,0,-2.50360564728421,0,0
"201",20,20,0,0,0,2.50360564728421,0,0
"212",21,21,0,0,0,0,-2.50360564728421,0
"221",22,22,0,0,0,0,2.50360564728421,0
"231",23,23,0,0,0,0,0,-2.50360564728421
"241",24,24,0,0,0,0,0,2.50360564728421
"251",25,25,-2.50360564728421,0,0,0,0,0
"261",26,26,2.50360564728421,0,0,0,0,0
"271",27,27,0,-2.50360564728421,0,0,0,0
"281",28,28,0,2.50360564728421,0,0,0,0
"291",29,29,0,0,-2.50360564728421,0,0,0
"301",30,30,0,0,2.50360564728421,0,0,0
"312",31,31,0,0,0,-2.50360564728421,0,0
"321",32,32,0,0,0,2.50360564728421,0,0
"331",33,33,0,0,0,0,-2.50360564728421,0
"341",34,34,0,0,0,0,2.50360564728421,0
"351",35,35,0,0,0,0,0,-2.50360564728421
"361",36,36,0,0,0,0,0,2.50360564728421
"371",37,37,-2.50360564728421,0,0,0,0,0
"381",38,38,2.50360564728421,0,0,0,0,0
"391",39,39,0,-2.50360564728421,0,0,0,0
"401",40,40,0,2.50360564728421,0,0,0,0
"412",41,41,0,0,-2.50360564728421,0,0,0
"421",42,42,0,0,2.50360564728421,0,0,0
"431",43,43,0,0,0,-2.50360564728421,0,0
"441",44,44,0,0,0,2.50360564728421,0,0
"451",45,45,0,0,0,0,-2.50360564728421,0
"461",46,46,0,0,0,0,2.50360564728421,0
"471",47,47,0,0,0,0,0,-2.50360564728421
"481",48,48,0,0,0,0,0,2.50360564728421
"491",49,49,-2.50360564728421,0,0,0,0,0
"501",50,50,2.50360564728421,0,0,0,0,0
"511",51,51,0,-2.50360564728421,0,0,0,0
"521",52,52,0,2.50360564728421,0,0,0,0
"531",53,53,0,0,-2.50360564728421,0,0,0
"541",54,54,0,0,2.50360564728421,0,0,0
"551",55,55,0,0,0,-2.50360564728421,0,0
"561",56,56,0,0,0,2.50360564728421,0,0
"571",57,57,0,0,0,0,-2.50360564728421,0
"581",58,58,0,0,0,0,2.50360564728421,0
"591",59,59,0,0,0,0,0,-2.50360564728421
"601",60,60,0,0,0,0,0,2.50360564728421
"611",61,61,-2.50360564728421,0,0,0,0,0
"621",62,62,2.50360564728421,0,0,0,0,0
"631",63,63,0,-2.50360564728421,0,0,0,0
"641",64,64,0,2.50360564728421,0,0,0,0
"65",65,65,0,0,-2.50360564728421,0,0,0
"66",66,66,0,0,2.50360564728421,0,0,0
"67",67,67,0,0,0,-2.50360564728421,0,0
"68",68,68,0,0,0,2.50360564728421,0,0
"69",69,69,0,0,0,0,-2.50360564728421,0
"70",70,70,0,0,0,0,2.50360564728421,0
"71",71,71,0,0,0,0,0,-2.50360564728421
"72",72,72,0,0,0,0,0,2.50360564728421
"73",73,73,0,0,0,0,0,0
"74",74,74,0,0,0,0,0,0
"75",75,75,0,0,0,0,0,0
"76",76,76,0,0,0,0,0,0
