MG_Glut,K_Glut,DTT,Experiments,Tubes
5.333333333333333,106.66666666666666,0.6666666666666666,3,['A1']
16.0,106.66666666666666,0.6666666666666666,3,['A2']
5.333333333333333,173.33333333333331,0.6666666666666666,3,['A3']
16.0,173.33333333333331,0.6666666666666666,3,['A4']
5.333333333333333,106.66666666666666,2.0,3,['A5']
16.0,106.66666666666666,2.0,3,['A6']
5.333333333333333,173.33333333333331,2.0,3,['A7']
16.0,173.33333333333331,2.0,3,['A8']
10.666666666666666,140.0,1.3333333333333333,12,['A9']
4.0,140.0,1.3333333333333333,3,['A10']
17.333333333333332,140.0,1.3333333333333333,3,['A11']
10.666666666666666,98.33333333333333,1.3333333333333333,3,['A12']
10.666666666666666,181.66666666666666,1.3333333333333333,3,['C1']
10.666666666666666,140.0,0.4933333333333333,3,['C2']
10.666666666666666,140.0,2.16,3,['C3']
