Original_Order,MG_Glut,K_Glut,DTT,PEG-8000,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
4,8.0,105.0,0.95,3.0,B10,1,A1,B1
0,8.0,105.0,0.95,3.0,B2,1,A1,B1
7,8.0,105.0,0.95,3.0,B16,1,A1,B1
5,8.0,105.0,0.95,3.0,B12,1,A1,B1
8,8.0,105.0,0.95,3.0,B18,1,A1,B1
3,8.0,105.0,0.95,3.0,B8,1,A1,B1
1,8.0,105.0,0.95,3.0,B4,1,A1,B1
6,8.0,105.0,0.95,3.0,B14,1,A1,B1
9,8.0,105.0,0.95,3.0,B20,1,A1,B1
2,8.0,105.0,0.95,3.0,B6,1,A1,B1
